id,host_id,neighbourhood_cleansed,room_type,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,Group_rating_score,Group_scores_accuracy,Group_scores_cleanliness,Group_scores_communication,Group_score_location
952142145104343620,471197676,Vadhana,Private room,2,5,4.5,5,4.5,4.5,4,Excellence,Excellence,Excellence,Excellence,Good
924905685854443612,278757344,Ratchathewi,Private room,3,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
669895448087471679,128479126,Bang Kapi,Entire home/apt,10,5,5,5,5,5,4.8,Excellence,Excellence,Excellence,Excellence,Excellence
800991307273021809,9661968,Parthum Wan,Entire home/apt,3,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
598176353868922319,286531961,Khlong San,Entire home/apt,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
4695837,24040466,Phaya Thai,Private room,5,5,5,4.5,5,5,4.4,Excellence,Excellence,Excellence,Excellence,Good
856332824824403129,153795155,Huai Khwang,Private room,2,5,5,5,5,5,4,Excellence,Excellence,Excellence,Excellence,Good
684616867131044330,342113311,Bang Na,Entire home/apt,4,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
48083636,138870859,Ratchathewi,Entire home/apt,2,5,5,4,4.5,4.5,5,Excellence,Excellence,Good,Excellence,Excellence
21845390,9683986,Lak Si,Entire home/apt,6,5,5,4.83,5,5,4.83,Excellence,Excellence,Excellence,Excellence,Excellence
595128432831758102,360140567,Pom Prap Sattru Phai,Private room,4,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
766292148810964053,267746594,Khlong San,Entire home/apt,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
863361320829819225,477660951,Vadhana,Private room,4,5,5,5,5,5,4.25,Excellence,Excellence,Excellence,Excellence,Good
732367928362567003,144701036,Chatu Chak,Entire home/apt,4,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
25422981,43615744,Suanluang,Private room,2,5,5,4.5,5,4.5,4.5,Excellence,Excellence,Excellence,Excellence,Excellence
53873868,436384240,Phra Khanong,Private room,3,5,4.67,5,5,5,4.67,Excellence,Excellence,Excellence,Excellence,Excellence
41324961,211966903,Phaya Thai,Private room,5,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
15108888,21894271,Thon buri,Private room,5,5,5,4.8,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
689451123777217178,20500449,Phaya Thai,Private room,2,5,4.5,5,5,5,4.5,Excellence,Excellence,Excellence,Excellence,Excellence
40181015,302224694,Bang Na,Private room,2,5,4.5,4.5,5,5,4.5,Excellence,Excellence,Excellence,Excellence,Excellence
16988767,100767680,Bang Rak,Shared room,15,5,5,4.87,5,4.93,4.8,Excellence,Excellence,Excellence,Excellence,Excellence
53554037,172820753,Bang Na,Entire home/apt,12,5,5,4.92,4.92,4.92,4.92,Excellence,Excellence,Excellence,Excellence,Excellence
42061842,60194145,Huai Khwang,Private room,7,5,5,4.86,5,5,4.71,Excellence,Excellence,Excellence,Excellence,Excellence
19801815,26534119,Don Mueang,Private room,2,5,5,5,5,5,4.5,Excellence,Excellence,Excellence,Excellence,Excellence
921324246657641295,344327171,Bang Kapi,Entire home/apt,3,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
957567158392655383,531726776,Bang Kapi,Private room,3,5,5,5,4,4.67,5,Excellence,Excellence,Excellence,Excellence,Excellence
797872952104071779,402093105,Bang Kapi,Entire home/apt,16,5,5,5,5,5,4.88,Excellence,Excellence,Excellence,Excellence,Excellence
38613309,21300947,Khlong Toei,Entire home/apt,6,5,5,4.83,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
921197034574804699,32282979,Huai Khwang,Entire home/apt,5,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
871515269129349617,52370590,Huai Khwang,Entire home/apt,3,5,5,5,5,5,4.67,Excellence,Excellence,Excellence,Excellence,Excellence
948293813866214753,507999867,Ratchathewi,Entire home/apt,4,5,5,4.75,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
29254709,176653289,Chatu Chak,Entire home/apt,11,5,5,4.91,5,5,4.91,Excellence,Excellence,Excellence,Excellence,Excellence
20806638,24021888,Khlong Toei,Hotel room,8,5,5,4.88,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
30834591,226784821,Ratchathewi,Shared room,4,5,5,5,4.5,4.75,4.75,Excellence,Excellence,Excellence,Excellence,Excellence
15665032,8444643,Phra Nakhon,Private room,2,5,5,5,4.5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
41309051,324454070,Ratchathewi,Entire home/apt,5,5,5,5,5,5,4.4,Excellence,Excellence,Excellence,Excellence,Good
42206850,309661618,Ratchathewi,Private room,4,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
735207676567232289,416454376,Huai Khwang,Entire home/apt,3,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
820855527069566691,487786532,Vadhana,Private room,6,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
33438669,8678240,Khlong Toei,Entire home/apt,2,5,5,5,5,5,4.5,Excellence,Excellence,Excellence,Excellence,Excellence
53993686,294345312,Vadhana,Entire home/apt,11,5,5,4.73,4.91,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
884361666413388240,5984433,Vadhana,Private room,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
12907998,69865833,Khlong Toei,Entire home/apt,15,5,5,4.87,5,5,4.73,Excellence,Excellence,Excellence,Excellence,Excellence
46152769,42737012,Ratchathewi,Entire home/apt,5,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
611017930591213826,13282564,Bang Rak,Entire home/apt,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
877842065860088141,39487575,Bang Sue,Private room,3,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
24250398,182848774,Thon buri,Private room,3,5,4,5,5,5,5,Excellence,Good,Excellence,Excellence,Excellence
42498054,59257865,Vadhana,Entire home/apt,5,5,5,5,5,5,4.8,Excellence,Excellence,Excellence,Excellence,Excellence
3732371,15403102,Parthum Wan,Entire home/apt,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
51600039,342113311,Bang Na,Entire home/apt,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
876430192764382744,35043615,Bangkok Yai,Private room,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
914338779563808377,28878380,Bang Na,Private room,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
36244662,36596655,Ratchathewi,Entire home/apt,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
9419661,48838323,Huai Khwang,Entire home/apt,3,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
678677178181371445,66067378,Bang Kapi,Entire home/apt,5,5,5,4.8,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
