id,host_id,neighbourhood_cleansed,price_cleaned,Term
30018131,225629386,Vadhana,5025.00,Short Term
807130655559397718,179697805,Vadhana,1500.00,Short Term
930404320354628851,492273748,Vadhana,4500.00,Short Term
22297593,161565794,Vadhana,2100.00,Short Term
576295001374741274,24768002,Vadhana,4500.00,Short Term
843305042322659342,434168399,Vadhana,7570.00,Short Term
982253312752376100,537489266,Vadhana,700.00,Short Term
29917627,224760650,Vadhana,1900.00,Short Term
941690771445545271,502914284,Vadhana,1061.00,Short Term
35583034,44305808,Vadhana,999.00,Short Term
577865238994934364,4154759,Vadhana,2500.00,Long Term
10710165,55347997,Vadhana,1000.00,Short Term
929987014302866318,128943709,Vadhana,1190.00,Short Term
13954090,80233466,Vadhana,1808.00,Short Term
14158307,56390086,Vadhana,5799.00,Short Term
646091759692888367,455923954,Vadhana,1200.00,Short Term
13945370,82968316,Vadhana,3700.00,Short Term
676553747821307353,259107165,Vadhana,2143.00,Short Term
589658191095297391,24768002,Vadhana,2350.00,Short Term
958681995991768004,456752357,Vadhana,2640.00,Short Term
39653373,150895050,Vadhana,1800.00,Short Term
739012988371546558,406403381,Vadhana,1500.00,Short Term
19464580,71247753,Vadhana,6000.00,Short Term
854263351653583919,182897474,Vadhana,3500.00,Short Term
41671498,327969837,Vadhana,3200.00,Short Term
15318987,71269747,Vadhana,1266.00,Short Term
42340004,4989772,Vadhana,500.00,Long Term
855435333045515422,266647625,Vadhana,5200.00,Short Term
790237687527407972,340188343,Vadhana,573.00,Short Term
9890452,42271997,Vadhana,3617.00,Short Term
877452540735018473,121057149,Vadhana,3114.00,Short Term
44564509,329184344,Vadhana,2000.00,Long Term
38274232,86870192,Vadhana,39783.00,Long Term
29784080,64766569,Vadhana,3599.00,Short Term
41214658,323447033,Vadhana,1000.00,Short Term
979498522130500319,117992287,Vadhana,1900.00,Long Term
819313241004530866,41598889,Vadhana,914.00,Long Term
894703202557885609,509678884,Vadhana,3297.00,Short Term
37625257,19806977,Vadhana,4702.00,Short Term
837911469047863218,406403381,Vadhana,3886.00,Short Term
32676637,37840126,Vadhana,7500.00,Short Term
12160023,37205227,Vadhana,990.00,Short Term
632804146047772898,240343545,Vadhana,2286.00,Short Term
39297640,284549024,Vadhana,2288.00,Short Term
5149083,11925658,Vadhana,1800.00,Short Term
42673691,339782081,Vadhana,3300.00,Short Term
810796511593301722,67585919,Vadhana,842.00,Long Term
3917240,20291792,Vadhana,3500.00,Short Term
43619274,348276974,Vadhana,30000.00,Short Term
810798126139846337,67585919,Vadhana,746.00,Long Term
21885688,129629547,Vadhana,1500.00,Short Term
951071446161781935,434168399,Vadhana,2250.00,Short Term
893922586778327760,44305808,Vadhana,1699.00,Short Term
930947628789046748,434168399,Vadhana,1375.00,Short Term
895281785354116579,111844630,Vadhana,2446.00,Short Term
