id,listing_url,name,picture_url,host_id,host_name,host_response_time,host_response_rate,host_acceptance_rate,host_picture_url,host_identity_verified,neighbourhood_cleansed,room_type,accommodates,bathroom,bathroom_type,bedrooms,beds,price_cleaned,minimum_nights,review_scores_rating,Term
873091038861368974,https://www.airbnb.com/rooms/873091038861368974,Rental unit in Khet Sathon,https://a0.muscache.com/pictures/miso/Hosting-873091038861368974/original/b23aaf67-11f1-4fec-9e07-caf8a2c21f4c.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Sathon,Entire home/apt,2,1.000000,bath,1,2,712.00,3,3,Short Term
46043048,https://www.airbnb.com/rooms/46043048,Rental unit in Khet Khlong Toei,https://a0.muscache.com/pictures/a09d8a79-e683-4588-9784-d50ad22475d6.jpg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Chom Thong,Entire home/apt,4,1.000000,bath,1,1,1072.00,2,4.57,Short Term
786671212854877469,https://www.airbnb.com/rooms/786671212854877469,Rental unit in Khet Khlong Toei,https://a0.muscache.com/pictures/b8654268-a607-4cd5-b9ed-a015d4ec063a.jpg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Chom Thong,Entire home/apt,2,1.000000,bath,1,1,1075.00,5,4.64,Short Term
799859162477177326,https://www.airbnb.com/rooms/799859162477177326,Rental unit in Khet Khlong San,https://a0.muscache.com/pictures/miso/Hosting-798534897244281351/original/bfb342de-94bd-4255-bd8a-1f5f07075233.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Khlong San,Entire home/apt,2,1.000000,bath,1,1,1121.00,30,5,Long Term
810743475037900190,https://www.airbnb.com/rooms/810743475037900190,Rental unit in Watthana,https://a0.muscache.com/pictures/miso/Hosting-810743475037900190/original/89e5de5a-e598-473f-be19-6875ee2c5265.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Vadhana,Entire home/apt,2,1.000000,bath,1,1,746.00,30,5,Long Term
810780582464287565,https://www.airbnb.com/rooms/810780582464287565,Rental unit in Watthana,https://a0.muscache.com/pictures/miso/Hosting-810780582464287565/original/26206ec9-649b-42ed-b5cb-09301c9e3da2.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Vadhana,Entire home/apt,2,1.000000,bath,1,1,746.00,30,5,Long Term
810796511593301722,https://www.airbnb.com/rooms/810796511593301722,Rental unit in Watthana,https://a0.muscache.com/pictures/miso/Hosting-810796511593301722/original/677f381c-67cc-49d3-9b56-33032e1cc82a.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Vadhana,Entire home/apt,2,1.000000,bath,1,1,842.00,30,0,Long Term
810798126139846337,https://www.airbnb.com/rooms/810798126139846337,Rental unit in Watthana,https://a0.muscache.com/pictures/miso/Hosting-810798126139846337/original/1b4c2a5c-d505-46f7-922c-1bb714640753.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Vadhana,Entire home/apt,2,1.000000,bath,1,1,746.00,30,0,Long Term
838390808219145841,https://www.airbnb.com/rooms/838390808219145841,Home in Krung Thep Maha Nakhon,https://a0.muscache.com/pictures/miso/Hosting-838390808219145841/original/e1c8c043-f98a-4165-ad26-fc51a50f0056.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Samphanthawong,Private room,4,1.000000,shared bath,1,2,1895.00,10,5,Short Term
838402009309363771,https://www.airbnb.com/rooms/838402009309363771,Home in Krung Thep Maha Nakhon,https://a0.muscache.com/pictures/miso/Hosting-838402009309363771/original/a373b502-9329-4939-9f65-7ec339a9e9ce.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Samphanthawong,Private room,2,1.000000,shared bath,0,1,1090.00,1,5,Short Term
898279459895929936,https://www.airbnb.com/rooms/898279459895929936,Rental unit in Khet Suan Luang,https://a0.muscache.com/pictures/miso/Hosting-898279459895929936/original/9619a217-5813-47e9-8090-824319a4f5cc.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Suanluang,Entire home/apt,10,3.000000,baths,3,5,5836.00,3,0,Short Term
42799228,https://www.airbnb.com/rooms/42799228,Rental unit in bkk,https://a0.muscache.com/pictures/fa4ce231-e487-4c0c-a6e7-e516375b0caa.jpg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Phra Khanong,Entire home/apt,2,1.000000,bath,1,1,836.00,28,4.39,Short Term
810754879971155992,https://www.airbnb.com/rooms/810754879971155992,Rental unit in Watthana,https://a0.muscache.com/pictures/miso/Hosting-810754879971155992/original/98dc7d9f-d1b0-4869-8c2b-f4a45dd0a4bb.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Vadhana,Entire home/apt,2,1.000000,bath,1,1,746.00,30,0,Long Term
660552064149655521,https://www.airbnb.com/rooms/660552064149655521,Rental unit in Khet Phra Khanong,https://a0.muscache.com/pictures/9a967de7-2719-4cf8-8488-7da1d6900634.jpg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Phra Khanong,Entire home/apt,2,1.000000,bath,1,1,1517.00,1,4.71,Short Term
41393163,https://www.airbnb.com/rooms/41393163,Rental unit in Sathon,https://a0.muscache.com/pictures/6ad7915d-5aff-44a8-959e-7330e448b46a.jpg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Sathon,Entire home/apt,4,1.000000,bath,1,2,891.00,3,3.95,Short Term
893858431222909660,https://www.airbnb.com/rooms/893858431222909660,Rental unit in Khet Huai Khwang,https://a0.muscache.com/pictures/miso/Hosting-893858431222909660/original/0c4029ff-5519-4837-86ed-6703262fecdd.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Huai Khwang,Entire home/apt,5,1.000000,bath,2,2,2621.00,1,0,Short Term
930242299136750289,https://www.airbnb.com/rooms/930242299136750289,Rental unit in Khet Huai Khwang,https://a0.muscache.com/pictures/miso/Hosting-930242299136750289/original/13cd0ced-9f80-42fa-a2ea-69de9db05974.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Huai Khwang,Entire home/apt,2,1.000000,bath,1,1,1227.00,7,5,Short Term
931018608739328299,https://www.airbnb.com/rooms/931018608739328299,Rental unit in Khet Huai Khwang,https://a0.muscache.com/pictures/miso/Hosting-931018608739328299/original/4cb3e33b-ab18-44de-a147-6134045a3400.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Huai Khwang,Entire home/apt,2,1.000000,bath,1,1,1227.00,7,0,Short Term
878987836725944158,https://www.airbnb.com/rooms/878987836725944158,Rental unit in Khet Huai Khwang,https://a0.muscache.com/pictures/miso/Hosting-878987836725944158/original/c84cc6e5-eece-46da-8f41-acb7dffa3bca.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Huai Khwang,Entire home/apt,2,1.000000,bath,1,1,1227.00,7,5,Short Term
931012421930031305,https://www.airbnb.com/rooms/931012421930031305,Rental unit in Khet Huai Khwang,https://a0.muscache.com/pictures/miso/Hosting-931012421930031305/original/18de886b-e202-4ef6-961c-c0482ef0f0ef.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Huai Khwang,Entire home/apt,2,1.000000,bath,1,1,1227.00,7,0,Short Term
893911283689252971,https://www.airbnb.com/rooms/893911283689252971,Rental unit in Khet Huai Khwang,https://a0.muscache.com/pictures/miso/Hosting-893911283689252971/original/b44963e0-c708-40b8-9cbe-e19334739ff7.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Huai Khwang,Entire home/apt,4,2.000000,baths,2,4,2790.00,1,0,Short Term
931001793583427395,https://www.airbnb.com/rooms/931001793583427395,Rental unit in Khet Huai Khwang,https://a0.muscache.com/pictures/miso/Hosting-931001793583427395/original/f3908bcf-e88d-4192-b78a-c42d51072be0.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Huai Khwang,Entire home/apt,2,1.000000,bath,1,1,1227.00,7,0,Short Term
929528483293822758,https://www.airbnb.com/rooms/929528483293822758,Rental unit in Khet Huai Khwang,https://a0.muscache.com/pictures/miso/Hosting-929528483293822758/original/80049da2-9f32-4981-b1e8-cc87a1ed3141.jpeg,67585919,Summer,within an hour,99%,97%,https://a0.muscache.com/im/pictures/user/f8a2398b-62e1-4a3c-9432-0e9ab76da103.jpg?aki_policy=profile_x_medium,True,Huai Khwang,Entire home/apt,2,1.000000,bath,1,1,1227.00,7,2,Short Term
