id,name,picture_url,host_id,neighbourhood_cleansed,room_type,bathroom,bathroom_type,bedrooms,beds,price_cleaned
866882684455419634,Rental unit in Khet Bangkok Yai,https://a0.muscache.com/pictures/miso/Hosting-859203030662133279/original/72522bd6-f309-4afa-b905-d47cfd700238.jpeg,6598548,Bangkok Yai,Private room,1.000000,private bath,0,1,640.00
41807042,Condo in เขตบางเขน,https://a0.muscache.com/pictures/44fcb808-e0b1-4291-ae6c-d09bf32dc6e4.jpg,217963819,Bang Khen,Private room,1.000000,private bath,0,0,600.00
838637607091495521,Home in Khet Dusit,https://a0.muscache.com/pictures/miso/Hosting-829368798999963705/original/d0e571c2-3f5f-4431-ae3a-3c90b5011b11.jpeg,501602512,Dusit,Private room,1.000000,private bath,0,1,1642.00
53818320,Townhouse in Khet Chatuchak,https://a0.muscache.com/pictures/miso/Hosting-38344662/original/1c197e7c-d274-40eb-858d-23245ff2450d.jpeg,291791251,Chatu Chak,Private room,4.000000,shared baths,1,4,1150.00
954156416312482017,Home in Khet Chatuchak,https://a0.muscache.com/pictures/miso/Hosting-954149435652440239/original/a789080e-6bea-47f3-9cca-e5815d5b76e1.jpeg,530801979,Chatu Chak,Entire home/apt,5.000000,baths,4,4,8800.00
18794556,Townhouse in Bangkok,https://a0.muscache.com/pictures/40767943-faba-4f0d-9b44-6e78ec6182fa.jpg,117237827,Chatu Chak,Entire home/apt,4.500000,baths,3,4,1899.00
958969378898266310,Hotel in Khet Samphanthawong,https://a0.muscache.com/pictures/miso/Hosting-958969378898266310/original/9b4906b5-82db-475b-b99f-181757846f47.png,493412920,Samphanthawong,Private room,1.000000,bath,1,1,1440.00
45211078,Home in Khet Taling Chan,https://a0.muscache.com/pictures/eed8161c-b5cc-426d-898e-e906908d13fa.jpg,365213765,Taling Chan,Private room,1.000000,private bath,0,1,360.00
16304649,Place to stay in Bangkok,https://a0.muscache.com/pictures/6cb6c392-e644-4c5e-a445-e5669cac8db9.jpg,79806545,Yan na wa,Private room,6.000000,baths,0,1,1250.00
920117381587992190,Rental unit in Khet Suan Luang,https://a0.muscache.com/pictures/603b3adf-30a1-4bdd-8d9d-4b8278ac4fe2.jpg,217983676,Suanluang,Private room,1.000000,bath,0,1,1000.00
790476492384199044,Hotel in Khet Ratchathewi,https://a0.muscache.com/pictures/miso/Hosting-782480781313470308/original/365e20e9-27e3-4faf-b631-e5aa336de5aa.jpeg,491526222,Ratchathewi,Private room,1.000000,bath,1,2,1200.00
41330083,Hostel in Ratchathewi,https://a0.muscache.com/pictures/00c4fcec-bb4c-454c-b2c9-28a7713849a2.jpg,226784821,Ratchathewi,Private room,1.000000,bath,0,4,1920.00
871357962643252881,Rental unit in Khet Thon Buri,https://a0.muscache.com/pictures/b3c90b7a-d3c5-4804-b841-f927f894e86e.jpg,47425603,Thon buri,Entire home/apt,1.000000,bath,1,1,590.00
958500987201262457,Rental unit in Khet Bang Phlat,https://a0.muscache.com/pictures/hosting/Hosting-958500987201262457/original/8eadbfe4-f3b9-4dcc-9f46-5848c5a96c9f.jpeg,220893313,Bang Phlat,Entire home/apt,1.000000,bath,1,1,564.00
929987014302866318,Rental unit in Watthana,https://a0.muscache.com/pictures/miso/Hosting-929987014302866318/original/9d6c4cb5-c0f1-4269-9d73-f234e48efebd.jpeg,128943709,Vadhana,Entire home/apt,1.000000,bath,1,1,1190.00
14158307,Rental unit in Bangkok,https://a0.muscache.com/pictures/1ff2db17-9258-4c7c-92f0-0b10ff66a570.jpg,56390086,Vadhana,Entire home/apt,3.500000,baths,3,3,5799.00
18245536,Condo in Bangkok,https://a0.muscache.com/pictures/7a5cf795-a9fe-4490-aea8-e47a1ac15e7a.jpg,112022694,Suanluang,Private room,1.000000,bath,0,1,2635.00
52818952,Rental unit in Khet Phra Khanong,https://a0.muscache.com/pictures/miso/Hosting-52818952/original/f4e9e22d-7648-42d0-81ab-b2903d7ffa84.jpeg,317938924,Phra Khanong,Private room,1.000000,private bath,0,0,690.00
53594647,Condo in Khet Bangkok Yai,https://a0.muscache.com/pictures/42ec260d-2bfc-4d68-a681-0f18b853c1b5.jpg,434024995,Bangkok Yai,Private room,1.000000,shared bath,0,0,999.00
580129436643746169,Hotel in Khet Ratchathewi,https://a0.muscache.com/pictures/miso/Hosting-580129436643746169/original/cc88a7aa-7b9b-4f41-b437-7e20402f2430.jpeg,447990934,Ratchathewi,Private room,1.000000,bath,1,1,1960.00
646091759692888367,Bed and breakfast in Khet Watthana,https://a0.muscache.com/pictures/miso/Hosting-612803945661915028/original/fb03c1d2-f2c8-49d0-94b4-8e9cfd2e4bf1.jpeg,455923954,Vadhana,Shared room,2.000000,shared baths,0,15,1200.00
718542135097131946,Hotel in Khet Bang Rak,https://a0.muscache.com/pictures/miso/Hosting-718542135097131946/original/5f446286-b936-4d6b-b0ef-cbbbd655b7b5.jpeg,375241276,Bang Rak,Private room,2.000000,baths,2,3,17099.00
925960356818413211,Rental unit in Khet Lat Phrao,https://a0.muscache.com/pictures/2706fa01-018b-4066-92ca-019c38755b7c.jpg,523063747,Lat Phrao,Private room,1.000000,bath,0,1,472.00
748263005153286799,Serviced apartment in Khet Bang Na,https://a0.muscache.com/pictures/miso/Hosting-748263005153286799/original/e261b64e-d4cb-41b5-803e-a6a4c74dbcd7.jpeg,485524256,Bang Na,Private room,1.000000,private bath,1,1,1250.00
739012988371546558,Serviced apartment in Khet Watthana,https://a0.muscache.com/pictures/8e50060d-ec96-4fd0-802f-c3f69f1b3527.jpg,406403381,Vadhana,Private room,1.000000,private bath,1,2,1500.00
44256128,Serviced apartment in Khet Yan Nawa,https://a0.muscache.com/pictures/f43f7f18-ace8-4919-a558-e5889d13ed8e.jpg,352643604,Yan na wa,Entire home/apt,1.500000,baths,1,2,920.00
854263351653583919,Hotel in Khet Watthana,https://a0.muscache.com/pictures/miso/Hosting-854263351653583919/original/09ec3cfc-90cd-4db5-bdc8-7100b096e1f2.jpeg,182897474,Vadhana,Private room,1.000000,private bath,1,1,3500.00
664816086197667976,Condo in Khet Bang Kapi,https://a0.muscache.com/pictures/miso/Hosting-664816086197667976/original/4d456ecb-6582-43ea-afaa-bab0de0a788b.jpeg,111861286,Bang Kapi,Entire home/apt,1.000000,bath,1,1,1300.00
980567932541730400,Rental unit in Khet Huai Khwang,https://a0.muscache.com/pictures/7b0a8e8f-3736-4db0-9470-f32dcab311d7.jpg,157804575,Din Daeng,Entire home/apt,1.000000,bath,1,1,1450.00
38274232,Condo in Khet Watthana,https://a0.muscache.com/pictures/3feece09-da4b-4497-9df2-3ab04d0d8518.jpg,86870192,Vadhana,Private room,1.000000,private bath,0,1,39783.00
21637166,Condo in Khet Phasi Charoen,https://a0.muscache.com/pictures/c868a173-7e74-439b-9036-0bc9c3a1adb2.jpg,87205736,Phasi Charoen,Entire home/apt,1.000000,bath,2,1,2000.00
